"Geographic Area Name (NAME)","Year (YEAR)","2017 NAPCS collection code (NAPCS2017)","Meaning of NAPCS collection code (NAPCS2017_LABEL)","2017 NAICS code (NAICS2017)","Meaning of NAICS code (NAICS2017_LABEL)","Meaning of Type of operation code (TYPOP_LABEL)","Number of establishments (ESTAB)","Sales, value of shipments, or revenue of NAPCS collection code ($1,000) (NAPCSDOL)","Industry contribution to total NAPCS collection code sales, value of shipments, or revenue (%) (NAICSALL_PCT)","Range indicating percent of total NAPCS collection code sales, value of shipments, or revenue imputed (NAPCSDOL_IMP)","Relative standard error of NAPCS collection code sales, value of shipments, or revenue (%) (NAPCSDOL_S)"
"United States","2017","2018776000","Manufacturing of commercial sound equipment","00","Total for all sectors","All establishments","129","731,004","100.0","60% to less than 70%","33.3"
"United States","2017","2018825000","Manufacturing of multiple unit gasoline dispensing pumps, computing-type (filling-station-type), excluding parts and attachments","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2018850000","Manufacturing of lubricating oil pumps, barrel pumps, grease guns, and all other miscellaneous measuring and dispensing pumps for service station use, complete units","00","Total for all sectors","All establishments","11","21,682 (s)","100.0","50% to less than 60%","40.4"
"United States","2017","2018875000","Manufacturing of commercial and industrial floor and carpet cleaning machines (including waxing and polishing machines) (excluding vacuum cleaners)","00","Total for all sectors","All establishments","47","360,462","100.0","10% to less than 20%","3.0"
"United States","2017","2018900000","Manufacturing of machine guns (30 mm or less, 1.18 in. or less)","00","Total for all sectors","All establishments","22","379,819","100.0","Less than 10%","5.2"
"United States","2017","2018925000","Manufacturing of centerfire semiautomatic rifles","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2018950000","Manufacturing of guns, howitzers, mortars, turrets, parts, and all other miscellaneous ordnance, accessories and related equipment (more than 30 mm (1.18 in.)), including parts","00","Total for all sectors","All establishments","92","673,277","100.0","10% to less than 20%","2.4"
"United States","2017","2018975000","Manufacturing of commercial and industrial portable vacuum cleaners","00","Total for all sectors","All establishments","39","102,548","100.0","10% to less than 20%","7.5"
"United States","2017","2019000000","Manufacturing of electronic teaching machines, teaching aids, trainers, and simulators (including kits)","00","Total for all sectors","All establishments","53","2,356,015","100.0","Less than 10%","0.4"
"United States","2017","2019025000","Manufacturing of coin-operated amusement machines (electric and nonelectric), excluding jukeboxes ","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2019050000","Manufacturing of playground equipment for other uses (including heavy-duty commercial and institutional)","00","Total for all sectors","All establishments","110","713,750","100.0","Less than 10%","1.6"
"United States","2017","2019075000","Manufacturing of gymnasium and exercise equipment","00","Total for all sectors","All establishments","263","2,101,043","100.0","Less than 10%","10.5"
"United States","2017","2019100000","Manufacturing of other bowling equipment (excluding apparel and shoes)","00","Total for all sectors","All establishments","15","20,771","100.0","10% to less than 20%","20.9"
"United States","2017","2019125000","Manufacturing of sewage treatment equipment","00","Total for all sectors","All establishments","221","1,822,382","100.0","Less than 10%","1.3"
"United States","2017","2019150000","Manufacturing of graphics arts and printers' roll coverings, rubber, and printers' rubber blankets","00","Total for all sectors","All establishments","44","266,764","100.0","20% to less than 30%","25.0"
"United States","2017","2019160000","Manufacturing of fabricated metal safes, vaults, and deposit boxes, and all other fabricated metal bank and security vaults and equipment","00","Total for all sectors","All establishments","104","494,532","100.0","10% to less than 20%","28.4"
"United States","2017","2019175000","Manufacturing of other service industry equipment","00","Total for all sectors","All establishments","408","3,572,125","100.0","Less than 10%","0.8"
"United States","2017","2019200000","Developing and making prototypes of complete aircraft","00","Total for all sectors","All establishments","24","245,742","100.0","Less than 10%","2.4"
"United States","2017","2019225000","Developing and making prototypes of aircraft engines","00","Total for all sectors","All establishments","15","155,621","100.0","Less than 10%","3.2"
"United States","2017","2019250000","Developing and making prototypes of aircraft parts (excluding engines)","00","Total for all sectors","All establishments","98","384,493","100.0","40% to less than 50%","27.0"
"United States","2017","2019275000","Developing and making prototypes of complete guided missiles","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2019325000","Developing and making prototypes of complete missiles, space vehicle engines, and propulsion units","00","Total for all sectors","All establishments","15","1,749,861","100.0","Less than 10%","0.0"
"United States","2017","2019350000","Developing and making prototypes of missile and space vehicle parts and components","00","Total for all sectors","All establishments","11","44,986","100.0","20% to less than 30%","31.2"
"United States","2017","2019365000","Developing and making prototypes of other goods","00","Total for all sectors","All establishments","4,430","3,277,303","100.0","50% to less than 60%","17.8"
"United States","2017","2019375000","Manufacturing of gasoline, including finished base stocks and blending agents","00","Total for all sectors","All establishments","119","234,715,212","100.0","Less than 10%","0.3"
"United States","2017","2019400000","Manufacturing of jet fuel, all types","00","Total for all sectors","All establishments","87","40,916,360","100.0","Less than 10%","0.9"
"United States","2017","2019425000","Manufacturing of kerosene, excluding jet fuel","00","Total for all sectors","All establishments","34","2,745,822","100.0","Less than 10%","19.0"
"United States","2017","2019450000","Manufacturing of light fuel oils","00","Total for all sectors","All establishments","112","122,662,125","100.0","Less than 10%","0.5"
"United States","2017","2019475000","Manufacturing of heavy fuel oils, including grades No. 5, 6, heavy diesel-type, heavy gas-enrichment oils, etc.","00","Total for all sectors","All establishments","100","17,069,276","100.0","Less than 10%","3.4"
"United States","2017","2019500000","Manufacturing of fuel ethanol (fuel-grade alcohol) and other biodiesel fuels","00","Total for all sectors","All establishments","280","28,473,176","100.0","Less than 10%","1.1"
"United States","2017","2019525000","Manufacturing of other pulp mill cooking liquor byproducts (skimmings, binders, fuel, etc.)","00","Total for all sectors","All establishments","16","86,273","100.0","Less than 10%","0.0"
"United States","2017","2019550000","Manufacturing of all other petroleum and coal products (including packaged fuel and fuel briquettes)","00","Total for all sectors","All establishments","32","1,148,757","100.0","Less than 10%","1.4"
"United States","2017","2019575000","Manufacturing of hardwood charcoal and charcoal briquets, including blends with lignite or other materials","00","Total for all sectors","All establishments","23","599,807","100.0","30% to less than 40%","0.7"
"United States","2017","2019600000","Manufacturing of firewood and fuel wood containing an added binder, including compressed logs","00","Total for all sectors","All establishments","85","640,107","100.0","10% to less than 20%","6.9"
"United States","2017","2019625000","Manufacturing of other fuels, nec.","00","Total for all sectors","All establishments","18","209,139","100.0","20% to less than 30%","32.3"
"United States","2017","2019650000","Animals slaughtered for pet food","00","Total for all sectors","All establishments","29","125,436","100.0","Less than 10%","0.1"
"United States","2017","2019675000","Manufacturing of meat and bone meal","00","Total for all sectors","All establishments","271","1,649,797","100.0","Less than 10%","0.0"
"United States","2017","2019700000","Manufacturing of animal and marine feed and fertilizer byproducts, excluding meat and bone meal","00","Total for all sectors","All establishments","192","2,236,844","100.0","10% to less than 20%","6.9"
"United States","2017","2019725000","Manufacturing of inedible tallow and other greases, excluding wool grease","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2019750000","Manufacturing of grains and flour milled products for animal and marine feed and fertilizer manufacturing","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2019775000","Manufacturing of distillers' dried grains (dark and light) and dried solubles","00","Total for all sectors","All establishments","184","3,083,968","100.0","Less than 10%","1.3"
"United States","2017","2019850000","Manufacturing of edible tallow and stearin","00","Total for all sectors","All establishments","108","636,314","100.0","Less than 10%","0.8"
"United States","2017","2019875000","Manufacturing of marine animal oil, scrap, and meal, and marine oil foots","00","Total for all sectors","All establishments","65","588,754","100.0","Less than 10%","2.9"
"United States","2017","2019900000","Manufacturing of other miscellaneous byproducts of slaughtering plants, including pulled wool and glue stock (excluding sausage casings)","00","Total for all sectors","All establishments","115","842,996","100.0","Less than 10%","0.2"
"United States","2017","2019925000","Manufacturing of tobacco, unstemmed leaf, redried before packing","00","Total for all sectors","All establishments","12","839,624","100.0","Less than 10%","0.7"
"United States","2017","2019950000","Manufacturing of tobacco, stemmed, aged and not aged leaf","00","Total for all sectors","All establishments","11","719,698","100.0","Less than 10%","0.8"
"United States","2017","2019975000","Manufacturing of reconstituted tobacco, processed sheet and homogenized","00","Total for all sectors","All establishments","10","235,773","100.0","10% to less than 20%","9.5"
"United States","2017","2020000000","Manufacturing of yarns, spun, carded, cotton, gray","00","Total for all sectors","All establishments","38","897,683","100.0","Less than 10%","3.2"
"United States","2017","2020025000","Manufacturing of yarns, spun, carded, cotton, finished, including spun on own-account and contract finishing","00","Total for all sectors","All establishments","70","654,564","100.0","Less than 10%","3.0"
"United States","2017","2020050000","Manufacturing of yarns, spun, combed, cotton","00","Total for all sectors","All establishments","43","566,004","100.0","Less than 10%","0.7"
"United States","2017","2020075000","Manufacturing of yarns, spun, rayon, acetate, and lyocell","00","Total for all sectors","All establishments","31","127,039","100.0","Less than 10%","5.6"
"United States","2017","2020100000","Manufacturing of yarns, spun, polyester, gray","00","Total for all sectors","All establishments","35","378,939","100.0","Less than 10%","6.0"
"United States","2017","2020125000","Manufacturing of yarns, spun, other noncellulosic fiber and other natural fibers, gray","00","Total for all sectors","All establishments","23","476,861","100.0","10% to less than 20%","9.1"
"United States","2017","2020150000","Manufacturing of yarns, spun, excluding gray, other noncellulosic fiber and other natural fibers, finished, including spun on own-account and contract finishing","00","Total for all sectors","All establishments","47","311,737","100.0","10% to less than 20%","6.0"
"United States","2017","2020175000","Manufacturing of yarns, wool, including new, reused, and reprocessed","00","Total for all sectors","All establishments","68","184,262","100.0","10% to less than 20%","7.4"
"United States","2017","2020200000","Manufacturing of tops and noils, including top or sliver converted from tow without combing; scoured wool; and other scouring and combing mill products (nubs and slubs, etc.)","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020225000","Manufacturing of yarns, novelty and plied, excluding wool","00","Total for all sectors","All establishments","8","3,351","100.0","60% to less than 70%","12.5"
"United States","2017","2020250000","Manufacturing of yarns, thrown, filament, excluding textured","00","Total for all sectors","All establishments","18","220,858","100.0","Less than 10%","14.4"
"United States","2017","2020275000","Manufacturing of yarns, textured, crimped, and bulked, filament, including stretch","00","Total for all sectors","All establishments","69","3,385,257","100.0","Less than 10%","1.2"
"United States","2017","2020325000","Manufacturing of thread","00","Total for all sectors","All establishments","35","220,903","100.0","10% to less than 20%","10.2"
"United States","2017","2020350000","Manufacturing of nylon and other polyamide manufactured fibers","00","Total for all sectors","All establishments","96","2,952,745","100.0","Less than 10%","3.0"
"United States","2017","2020375000","Manufacturing of rayon, acetate, and lyocell manufactured fibers","00","Total for all sectors","All establishments","7","1,440,259","100.0","Less than 10%","0.3"
"United States","2017","2020400000","Manufacturing of polyolefin manufactured fibers","00","Total for all sectors","All establishments","12","626,160","100.0","Less than 10%","4.1"
"United States","2017","2020425000","Manufacturing of industrial polyester yarn, including strip","00","Total for all sectors","All establishments","7","246,859","100.0","Less than 10%","4.3"
"United States","2017","2020450000","Manufacturing of polyester textile yarn, including strip","00","Total for all sectors","All establishments","28","787,275","100.0","Less than 10%","4.3"
"United States","2017","2020475000","Manufacturing of polyester fiberfill staple and tow and polyester fiber salable waste","00","Total for all sectors","All establishments","14","352,345","100.0","20% to less than 30%","16.7"
"United States","2017","2020500000","Manufacturing of polyester carpet yarn, including strip","00","Total for all sectors","All establishments","7","628,153","100.0","Less than 10%","2.6"
"United States","2017","2020525000","Manufacturing of other manufactured noncellulosic fibers (excluding glass, carbon, and graphite)","00","Total for all sectors","All establishments","32","447,560","100.0","10% to less than 20%","17.3"
"United States","2017","2020550000","Manufacturing of producer-textured manufactured noncellulosic fibers","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020575000","Manufacturing of other glass fiber, textile-type (including yarn, strand, staple yarn, sliver, roving, chopped strand, and milled glass fiber)","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020600000","Manufacturing of recovered fibers, processed mill waste, and related products","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020625000","Manufacturing of broadwoven fabrics, cotton, plain weave (excluding pile), gray goods","00","Total for all sectors","All establishments","39","439,168","100.0","10% to less than 20%","4.8"
"United States","2017","2020635000","Manufacturing of broadwoven fabrics, cotton, pile, gray goods","00","Total for all sectors","All establishments","4","93,797","100.0","Less than 10%","2.3"
"United States","2017","2020650000","Manufacturing of broadwoven fabrics, cotton, twill weave (excluding pile), gray goods","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020675000","Manufacturing of broadwoven fabrics, cotton, all other weaves (excluding plain, pile, and twill), gray goods","00","Total for all sectors","All establishments","4","30,161","100.0","Less than 10%","2.4"
"United States","2017","2020725000","Manufacturing of broadwoven fabrics, manmade fiber, 85 percent or more filament yarns (chiefly rayon, acetate, and lyocell), gray goods","00","Total for all sectors","All establishments","11","124,442","100.0","Less than 10%","2.0"
"United States","2017","2020750000","Manufacturing of broadwoven fabrics, manmade fiber, 85 percent or more filament yarns (excluding rayon, acetate, and lyocell), gray goods","00","Total for all sectors","All establishments","38","629,516","100.0","Less than 10%","3.4"
"United States","2017","2020775000","Manufacturing of broadwoven fabrics, manmade fiber, plain weave (excluding pile), 85 percent or more spun yarns (excluding wool blends), gray goods","00","Total for all sectors","All establishments","23","175,078","100.0","Less than 10%","5.1"
"United States","2017","2020800000","Manufacturing of broadwoven fabrics, manmade fiber, twill weave (excluding pile), 85 percent or more spun yarns (excluding wool blends), gray goods","00","Total for all sectors","All establishments","13","277,883","100.0","Less than 10%","1.2"
"United States","2017","2020825000","Manufacturing of broadwoven fabrics, manmade fiber, all other weaves (excluding plain, twill, and pile), 85 percent or more spun yarn (excluding wool blends), gray goods","00","Total for all sectors","All establishments","10","125,122","100.0","Less than 10%","4.2"
"United States","2017","2020850000","Manufacturing of broadwoven fabrics, natural fibers, including silk (excluding cotton) and other manmade fibers, combinations of spun and filament yarns, each less than 85 percent of total fiber content (excluding wool blends and pile), gray goods","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020875000","Manufacturing of broadwoven fabrics, natural fibers, including silk (excluding cotton) and other manmade fibers, all other weaves (including pile), gray goods","00","Total for all sectors","All establishments","14","116,307","100.0","Less than 10%","0.5"
"United States","2017","2020900000","Manufacturing of broadwoven fabrics, wool, gray goods","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2020950000","Manufacturing of finished broadwoven fabrics, cotton, plain weave (excluding pile)","00","Total for all sectors","All establishments","107","623,262","100.0","Less than 10%","3.2"
"United States","2017","2020975000","Manufacturing of finished broadwoven fabrics, cotton, pile (including velvets, plushes, corduroy, terry toweling, and terry cloth)","00","Total for all sectors","All establishments","14","64,191","100.0","20% to less than 30%","10.5"
"United States","2017","2020980000","Manufacturing of finished broadwoven fabrics, cotton, twill weave (excluding pile)","00","Total for all sectors","All establishments","50","104,694","100.0","10% to less than 20%","10.5"
"United States","2017","2020985000","Manufacturing of finished broadwoven fabrics, cotton, all other weaves, including sateens, oxfords, table damask, jacquard, dobby shirting, and birdseye diaper cloth (excl. plain, twill, and pile), incl. manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","23","150,180","100.0","Less than 10%","5.0"
"United States","2017","2021000000","Manufacturing of finished broadwoven fabrics, manmade or natural fibers (including silk, excluding cotton and wool), print cloth (plain weave, excluding pile), 85 percent or more spun yarn fabrics, incl. manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","36","158,173","100.0","10% to less than 20%","10.2"
"United States","2017","2021025000","Manufacturing of finished broadwoven fabrics, manmade or natural fibers, (incl. silk excl. cotton and wool), all other types of plain weave (excl. print cloth and pile), 85 percent or more spun yarn fabrics, incl. mfg on own-account and contract finishing","00","Total for all sectors","All establishments","27","378,128","100.0","Less than 10%","0.8"
"United States","2017","2021030000","Manufacturing of finished broadwoven fabrics, manmade or natural fibers (incl. silk, excl. cotton and wool), pile fabrics (incl. velvets, plushes, and corduroys), 85 percent or more spun yarn, incl. manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","8","48,184","100.0","30% to less than 40%","31.1"
"United States","2017","2021050000","Manufacturing of finished broadwoven fabrics, manmade or natural fibers, including silk (excluding cotton and wool), twill weave (excluding pile), 85 percent or more spun yarn","00","Total for all sectors","All establishments","18","320,597","100.0","Less than 10%","2.2"
"United States","2017","2021075000","Manufacturing of finished broadwoven fabrics, manmade or natural fibers (including silk, excluding cotton and wool), other weaves (excluding plain, twill, and pile), 85 percent or more spun yarn, incl. manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","9","41,886","100.0","Less than 10%","0.0"
"United States","2017","2021125000","Manufacturing of finished broadwoven fabrics, chiefly polyester, 85 percent or more filament yarn","00","Total for all sectors","All establishments","54","389,513","100.0","Less than 10%","3.9"
"United States","2017","2021150000","Manufacturing of finished broadwoven fabrics, manmade and natural fibers, including silk (excluding cotton and wool), all other types","00","Total for all sectors","All establishments","60","432,136","100.0","Less than 10%","4.7"
"United States","2017","2021175000","Manufacturing of finished broadwoven fabrics, wool fabrics and felts","00","Total for all sectors","All establishments","30","93,102","100.0","10% to less than 20%","4.9"
"United States","2017","2021225000","Manufacturing of glass fiber mat, textile-type","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2021250000","Manufacturing of narrow fabrics (12 inches or less in width), woven, elastic","00","Total for all sectors","All establishments","65","355,535","100.0","Less than 10%","0.7"
"United States","2017","2021275000","Manufacturing of narrow fabrics (12 inches or less in width), woven, nonelastic (labels, ribbons, and tape)","00","Total for all sectors","All establishments","80","160,688","100.0","10% to less than 20%","6.5"
"United States","2017","2021300000","Manufacturing of all other narrow fabrics (12 inches or less in width), woven, nonelastic, including webbing (excluding labels, woven edge ribbons, and tape), including manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","66","307,114","100.0","Less than 10%","3.4"
"United States","2017","2021325000","Manufacturing of narrow fabrics (12 inches or less in width), braided, including manufacturing on own-account and contract finishing","00","Total for all sectors","All establishments","40","119,304","100.0","20% to less than 30%","11.1"
"United States","2017","2021350000","Manufacturing of covered rubber thread","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2021400000","Manufacturing of nonwoven fabrics (excluding housewraps; paper; woven, knitted, or tufted fabrics; and pressed, punched, or woven felts)","00","Total for all sectors","All establishments","151","5,301,958","100.0","Less than 10%","0.4"
"United States","2017","2021425000","Manufacturing of weft (circular) knit fabrics, greige goods (excluding hosiery), narrow (12 inches wide or less)","00","Total for all sectors","All establishments","15","89,418","100.0","Less than 10%","0.5"
"United States","2017","2021450000","Manufacturing of weft (circular) knit fabrics, greige goods (excluding hosiery), broad (more than 12 inches wide)","00","Total for all sectors","All establishments","35","160,337","100.0","Less than 10%","5.2"
"United States","2017","2021475000","Manufacturing of weft (circular) knit fabrics, finished, narrow and broad (excluding hosiery)","00","Total for all sectors","All establishments","41","352,082","100.0","Less than 10%","1.2"
"United States","2017","2021525000","Purchasing and finishing narrow (12 inches wide or less) knit fabrics (contract finishing)","00","Total for all sectors","All establishments","12","59,463","100.0","10% to less than 20%","11.5"
"United States","2017","2021550000","Purchasing and finishing broad (more than 12 inches wide) knit fabrics (contract finishing)","00","Total for all sectors","All establishments","57","334,359","100.0","10% to less than 20%","5.1"
"United States","2017","2021575000","Manufacturing of warp knit fabrics, greige goods","00","Total for all sectors","All establishments","41","243,437","100.0","Less than 10%","2.2"
"United States","2017","2021600000","Manufacturing of warp knit fabrics, finished, narrow and broad","00","Total for all sectors","All establishments","48","308,518","100.0","10% to less than 20%","3.6"
"United States","2017","2021625000","Manufacturing of lace and net goods, all leavers and Nottingham lace machine products, including bobbinets and barmen laces (excluding raschel lace machine products and burned-out laces) ","00","Total for all sectors","All establishments","9","28,151","100.0","30% to less than 40%","21.6"
"United States","2017","2021650000","Manufacturing of embroideries (excluding Schiffli machine products and contract receipts)","00","Total for all sectors","All establishments","3,067","847,402","100.0","30% to less than 40%","7.1"
"United States","2017","2021675000","Manufacturing of Schiffli machine embroideries","00","Total for all sectors","All establishments","40","40,173","100.0","20% to less than 30%","22.4"
"United States","2017","2021700000","Manufacturing of buttons and button parts, including button backs, blanks, and molds (excluding buttons and button parts made of precious metals and precious and semiprecious stones)","00","Total for all sectors","All establishments","30","40,190","100.0","30% to less than 40%","25.8"
"United States","2017","2021725000","Manufacturing of zippers and slide fasteners, excluding zippers and slide fasteners made of precious metals and precious and semiprecious stones","00","Total for all sectors","All establishments","27","74,368","100.0","50% to less than 60%","1.9"
"United States","2017","2021750000","Manufacturing of buckles, fasteners (excluding slide fasteners), needles, and pins, excluding those made of precious metals and precious and semiprecious stones","00","Total for all sectors","All establishments","92","754,093","100.0","20% to less than 30%","1.1"
"United States","2017","2021775000","Manufacturing of surfactants (bulk surface active agents)","00","Total for all sectors","All establishments","176","5,990,042","100.0","10% to less than 20%","1.6"
"United States","2017","2021800000","Manufacturing of finishing agents and assistants","00","Total for all sectors","All establishments","50","2,247,315","100.0","Less than 10%","3.1"
"United States","2017","2021825000","Manufacturing of leather dressings and finishes, excluding shoe polish","00","Total for all sectors","All establishments","9","12,357 (s)","100.0","Less than 10%","64.0"
"United States","2017","2021850000","Manufacturing of sheer hosiery, excluding socks, women's, misses', and girls', shipped in the greige","00","Total for all sectors","All establishments","18","51,373","100.0","30% to less than 40%","26.0"
"United States","2017","2021875000","Manufacturing of hosiery (excluding sheer), seamless, shipped in the greige","00","Total for all sectors","All establishments","14","11,896","100.0","30% to less than 40%","18.6"
"United States","2017","2021925000","Manufacturing of furs and pelts, dressed and dyed or bleached","00","Total for all sectors","All establishments","27","19,375","100.0","Less than 10%","1.8"
"United States","2017","2021950000","Manufacturing of leather belts for apparel manufacturing","00","Total for all sectors","All establishments","19","32,175","100.0","10% to less than 20%","12.2"
"United States","2017","2021975000","Manufacturing of boot and shoe cut stock and findings","00","Total for all sectors","All establishments","33","72,608","100.0","Less than 10%","6.1"
"United States","2017","2022000000","Manufacturing of rubber coated fabrics, garment and footwear","00","Total for all sectors","All establishments","4","22,488","100.0","Less than 10%","10.1"
"United States","2017","2022025000","Manufacturing of bias binding, apparel and notion trade, excluding fused and sealed edge","00","Total for all sectors","All establishments","33","18,610 (s)","100.0","10% to less than 20%","66.6"
"United States","2017","2022050000","Manufacturing of apparel accessories, all other types (apparel findings, trimmings, etc.), fabricated","00","Total for all sectors","All establishments","382","246,857","100.0","20% to less than 30%","5.3"
"United States","2017","2022075000","Manufacturing of hat bodies and fabric caps","00","Total for all sectors","All establishments","56","86,583 (s)","100.0","60% to less than 70%","54.8"
"United States","2017","2022100000","Manufacturing of fabricated nonwoven products","00","Total for all sectors","All establishments","89","1,166,001","100.0","Less than 10%","0.8"
"United States","2017","2022150000","Manufacturing of sizes (textile and other)","00","Total for all sectors","All establishments","S","A","S","S","S"
"United States","2017","2022175000","Manufacturing of cotton linters","00","Total for all sectors","All establishments","10","101,904","100.0","30% to less than 40%","17.3"
"United States","2017","2022200000","Manufacturing of trimmings, nonapparel, including furniture, excluding automotive","00","Total for all sectors","All establishments","S","A","S","S","S"
"United States","2017","2022225000","Manufacturing of hardwood rough lumber","00","Total for all sectors","All establishments","1,780","5,370,344","100.0","30% to less than 40%","2.9"
"United States","2017","2022250000","Manufacturing of hardwood industrial cut stock, rough or surfaced, cut to size and semi and fully machined, ready for assembly","00","Total for all sectors","All establishments","325","1,511,913","100.0","20% to less than 30%","4.5"
"United States","2017","2022275000","Manufacturing of softwood industrial cut stock","00","Total for all sectors","All establishments","140","928,164","100.0","10% to less than 20%","3.8"
"United States","2017","2022300000","Manufacturing of softwood rough lumber","00","Total for all sectors","All establishments","1,026","3,938,716","100.0","10% to less than 20%","3.7"
"United States","2017","2022325000","Manufacturing of wood chips, excluding field chips","00","Total for all sectors","All establishments","1,793","2,286,292","100.0","20% to less than 30%","5.7"
"United States","2017","2022350000","Manufacturing of kiln-dried lumber","00","Total for all sectors","All establishments","304","1,160,184","100.0","20% to less than 30%","5.3"
"United States","2017","2022375000","Manufacturing of softwood veneer, including veneer backed with paper, cloth, or other flexible material","00","Total for all sectors","All establishments","67","1,649,154","100.0","Less than 10%","1.2"
"United States","2017","2022400000","Manufacturing of wood lath","00","Total for all sectors","All establishments","30","11,955 (s)","100.0","50% to less than 60%","80.0"
"United States","2017","2022425000","Manufacturing of hardwood dressed lumber, not edge worked","00","Total for all sectors","All establishments","333","2,806,556","100.0","10% to less than 20%","5.1"
"United States","2017","2022450000","Manufacturing of hardwood lumber, edge worked (tongued, grooved, rabbeted, etc.), except flooring","00","Total for all sectors","All establishments","46","35,291","100.0","10% to less than 20%","31.2"
"United States","2017","2022475000","Manufacturing of hardwood veneer, including veneer backed with paper, cloth, or other flexible material","00","Total for all sectors","All establishments","113","1,401,197","100.0","Less than 10%","0.5"
"United States","2017","2022500000","Manufacturing of prefinished hardwood plywood","00","Total for all sectors","All establishments","13","127,098","100.0","Less than 10%","0.4"
"United States","2017","2022525000","Manufacturing of hardwood veneered panels, including two-ply veneers","00","Total for all sectors","All establishments","100","529,286","100.0","Less than 10%","0.8"
"United States","2017","2022550000","Manufacturing of particleboard and medium density fiberboard (MDF)","00","Total for all sectors","All establishments","105","2,230,765","100.0","20% to less than 30%","3.4"
"United States","2017","2022625000","Manufacturing of hardboard products","00","Total for all sectors","All establishments","38","313,359","100.0","30% to less than 40%","15.6"
"United States","2017","2022675000","Manufacturing of hardwood furniture cut stock and dimension","00","Total for all sectors","All establishments","94","219,705","100.0","20% to less than 30%","15.4"
"United States","2017","2022700000","Manufacturing of softwood furniture cut stock and furniture and industrial dimension","00","Total for all sectors","All establishments","42","77,775","100.0","30% to less than 40%","25.5"
"United States","2017","2022725000","Manufacturing of furniture frames, wood","00","Total for all sectors","All establishments","268","654,991","100.0","30% to less than 40%","12.8"
"United States","2017","2022750000","Manufacturing of furniture dimensions, fully machined ready for assembly, hardwood and softwood","00","Total for all sectors","All establishments","59","193,883","100.0","20% to less than 30%","22.0"
"United States","2017","2022775000","Manufacturing of paddings and upholstery filling, batting, and wadding (excluding foam rubber and plastics)","00","Total for all sectors","All establishments","118","292,957","100.0","20% to less than 30%","4.2"
"United States","2017","2022800000","Manufacturing of furniture and furnishings polystyrene foam products","00","Total for all sectors","All establishments","14","90,435","100.0","Less than 10%","4.5"
"United States","2017","2022825000","Manufacturing of polyurethane foam formed and slab stock for pillows, seating, and cushioning","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2022850000","Manufacturing of other polyurethane foam furniture and furnishing products","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2022875000","Manufacturing of latex foam for upholstery (sheet and slab stock)","00","Total for all sectors","All establishments","S","A","S","S","S"
"United States","2017","2022900000","Manufacturing of electrical and electronic polystyrene foam products","00","Total for all sectors","All establishments","14","6,853","100.0","10% to less than 20%","34.0"
"United States","2017","2022925000","Manufacturing of electrical and electronic polyurethane foam products","00","Total for all sectors","All establishments","21","82,554","100.0","Less than 10%","6.2"
"United States","2017","2022950000","Manufacturing of latex foam products and chemically blown (open and closed cell) rubber sponges","00","Total for all sectors","All establishments","27","487,391","100.0","Less than 10%","11.8"
"United States","2017","2022975000","Manufacturing of wire spring units for box springs, innerspring mattresses, dual-purpose sleep furniture, and other upholstered furniture","00","Total for all sectors","All establishments","79","650,046","100.0","Less than 10%","7.2"
"United States","2017","2023000000","Manufacturing of plastics furniture components and furnishings (excluding foam and reinforced plastics)","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2023025000","Manufacturing of furniture hardware, including drawer pulls and handles, rotating and tilting furniture fixtures and bases, furniture and drawer slides, furniture casters, and other floor protective devices (excluding cabinet hardware)","00","Total for all sectors","All establishments","D","D","D","D","D"
"United States","2017","2023050000","Manufacturing of laminated plastics plates, sheets (excluding packaging), and shapes","00","Total for all sectors","All establishments","265","4,429,485","100.0","20% to less than 30%","0.9"
"United States","2017","2023075000","Manufacturing of furniture metal job stampings","00","Total for all sectors","All establishments","79","63,332","100.0","10% to less than 20%","13.5"
